id,tier,priority,tag_name,tag_value,description,business_impact,action_required,dispute_trigger,billing_impact,color_code,category,created_at
1,1,Lower,Primary Outcome - Appointment Set,QUALIFIED_APPOINTMENT_SET,"Firm appointment scheduled with specific date/time confirmed, address collected, customer committed",Highest revenue potential ($24-$58). Best possible outcome.,None - celebrate success,NONE,LIKELY_BILLABLE,green,outcome_positive,2026-02-17 00:00:00
2,1,Medium,Primary Outcome - Soft Lead,SOFT_LEAD_INTERESTED,"Customer engaged and interested but didn't book immediately. Said will call back, check with spouse, etc.",Medium revenue potential ($9-$27). May convert later.,Follow-up tracking recommended,NONE,LIKELY_BILLABLE if >90s,yellow,outcome_neutral,2026-02-17 00:00:00
3,1,Medium,Primary Outcome - Info Only,INFORMATION_ONLY_CALL,"Customer got information but unlikely to convert. Warranty questions, price checking only.",Low revenue potential. Unlikely conversion.,Analyze for traffic quality patterns,NONE,QUESTIONABLE or NOT,yellow,outcome_neutral,2026-02-17 00:00:00
4,1,High,Primary Outcome - Buyer Hangup,BUYER_EARLY_HANGUP,Buyer/agent disconnected call prematurely (<30s). Technical issues or refused to help.,Lost opportunity. Buyer-side issue.,"Flag to buyer, review call quality",REVIEW,NOT if <30s,orange,outcome_negative,2026-02-17 00:00:00
5,1,High,Primary Outcome - User Hangup,USER_EARLY_HANGUP,"Consumer/caller disconnected prematurely (<30s). Wrong number, frustrated, accidental.",Lost opportunity. Traffic quality issue.,Analyze for IVR/routing issues,NONE,NOT if <30s,orange,outcome_negative,2026-02-17 00:00:00
6,1,Highest,Primary Outcome - No Interest,NO_BUYER_INTEREST,Buyer explicitly refused to provide service despite consumer wanting help. Zero value provided.,Should not be billed. Clear quality issue.,"Dispute if billed, flag buyer performance",STRONG,DEFINITELY_NOT,red,outcome_critical,2026-02-17 00:00:00
7,2,Medium,Quality Flag - Wrong Number,WRONG_NUMBER,Consumer intended to reach different company/brand. Expected in brand bidding campaigns.,DATA POINT ONLY - NOT a dispute trigger. Can still be billable if buyer engages.,Track for brand campaign ROI analysis,NONE,Variable - depends on engagement,yellow,quality_tracking,2026-02-17 00:00:00
8,2,Highest,Quality Flag - Unserviceable Geo,UNSERVICEABLE_GEOGRAPHY,Buyer cannot service customer's location. Outside service territory.,$0 revenue. Clear quality issue. Should not be billed.,"Dispute immediately, add ZIP to exclusion list after 5+ occurrences",STRONG,DEFINITELY_NOT,red,quality_critical,2026-02-17 00:00:00
9,2,Highest,Quality Flag - Unserviceable Appliance (TV),UNSERVICEABLE_APPLIANCE_TV,Buyer does not service TVs. Wrong vertical match.,$0 revenue. Clear quality issue. Should not be billed.,"Dispute immediately, review routing rules",STRONG,DEFINITELY_NOT,red,quality_critical,2026-02-17 00:00:00
10,2,Highest,Quality Flag - Unserviceable Appliance (Commercial),UNSERVICEABLE_APPLIANCE_COMMERCIAL,Buyer does not service commercial equipment. Wrong vertical match.,$0 revenue. Clear quality issue. Should not be billed.,"Dispute immediately, review routing rules",STRONG,DEFINITELY_NOT,red,quality_critical,2026-02-17 00:00:00
11,2,Highest,Quality Flag - Unserviceable Appliance (HVAC),UNSERVICEABLE_APPLIANCE_HVAC,Buyer does not service HVAC. Wrong vertical match.,$0 revenue. Clear quality issue. Should not be billed.,"Dispute immediately, review routing rules",STRONG,DEFINITELY_NOT,red,quality_critical,2026-02-17 00:00:00
12,2,Highest,Quality Flag - Unserviceable Appliance (Pool),UNSERVICEABLE_APPLIANCE_POOL,Buyer does not service pool equipment. Wrong vertical match.,$0 revenue. Clear quality issue. Should not be billed.,"Dispute immediately, review routing rules",STRONG,DEFINITELY_NOT,red,quality_critical,2026-02-17 00:00:00
13,2,Highest,Quality Flag - Unserviceable Appliance (Other),UNSERVICEABLE_APPLIANCE_OTHER,Buyer does not service this appliance type. Wrong vertical match.,$0 revenue. Clear quality issue. Should not be billed.,"Dispute immediately, review routing rules",STRONG,DEFINITELY_NOT,red,quality_critical,2026-02-17 00:00:00
14,2,High,Quality Flag - Buyer Availability,BUYER_AVAILABILITY_ISSUE,No agents available / buyer closed during stated business hours. Staffing problem.,Lost opportunity. Buyer's fault - campaign configured per their schedule.,Flag to buyer about availability issues. Do NOT adjust routing.,REVIEW,QUESTIONABLE or NOT,orange,quality_buyer,2026-02-17 00:00:00
15,2,High,Quality Flag - Routing Failure,BUYER_ROUTING_FAILURE,"Technical problem on buyer's end. Call dropped, transfer failed, IVR stuck 60+ seconds.",Lost opportunity. Buyer's fault - technical issues.,Flag to buyer about technical issues,REVIEW,Usually NOT,orange,quality_buyer,2026-02-17 00:00:00
16,2,Highest,Quality Flag - Immediate Disconnect,IMMEDIATE_DISCONNECT,Call duration <10 seconds. No meaningful conversation possible.,$0 revenue. Never billable. Clear quality issue.,Dispute immediately if billed,STRONG,DEFINITELY_NOT,red,quality_critical,2026-02-17 00:00:00
17,2,High,Quality Flag - Possible Dispute,POSSIBLE_DISPUTE,"Soft flag for borderline situations. Buyer recognized prior contact, 30-60s unclear value.",Potential dispute risk. Needs review if buyer disputes.,"Flag for review, do NOT auto-dispute",REVIEW,Variable,orange,quality_review,2026-02-17 00:00:00
18,3,Lower,Customer Intent - Urgent Repair,URGENT_REPAIR_NEEDED,Emergency situation. Appliance completely broken. Needs immediate service.,Highest conversion probability. Priority lead.,Route to available buyers quickly,NONE,LIKELY_BILLABLE,green,intent_positive,2026-02-17 00:00:00
19,3,Medium,Customer Intent - Preventive,PREVENTIVE_MAINTENANCE,No emergency. Appliance still working but having issues. Wants checkup.,Lower urgency. May take longer to convert.,Standard follow-up,NONE,Variable,yellow,intent_neutral,2026-02-17 00:00:00
20,3,Medium,Customer Intent - Warranty,WARRANTY_CLAIM_ATTEMPT,Customer believes appliance is under warranty. Looking for free service.,50/50 conversion. Can convert to paid repair if out of warranty.,Track warranty vs paid repair conversion rates,NONE,Variable,yellow,intent_neutral,2026-02-17 00:00:00
21,3,Medium,Customer Intent - Price Shopping,PRICE_COMPARISON_SHOPPING,Getting quotes from multiple providers. Focused on cost. Not ready to book.,Medium conversion. Normal lead gen behavior.,Track competitive pricing insights,NONE,Variable,yellow,intent_neutral,2026-02-17 00:00:00
22,3,Medium,Customer Intent - New Purchase,CONSIDERING_NEW_PURCHASE,Weighing repair cost vs buying new appliance. May not repair at all.,50/50 conversion. Track for targeting optimization.,Analyze repair vs replace decision patterns,NONE,Variable,yellow,intent_neutral,2026-02-17 00:00:00
23,3,High,Customer Intent - Parts Only,PARTS_INQUIRY,"Consumer looking to purchase parts, not repair service. Wants DIY.",Low conversion. Wrong type of lead for repair services.,"Review traffic source, adjust targeting",NONE,Usually NOT,orange,intent_negative,2026-02-17 00:00:00
24,4,Lower,Appliance Type - Washer,WASHER_REPAIR,"Washing machine repair needed. Common issues: unbalanced, leaking, won't spin.",High conversion rate. Necessary appliance.,Standard routing,NONE,Variable,green,appliance,2026-02-17 00:00:00
25,4,Lower,Appliance Type - Dryer,DRYER_REPAIR,"Dryer repair needed. Common issues: not heating, not turning, takes too long.",High conversion rate. Necessary appliance.,Standard routing,NONE,Variable,green,appliance,2026-02-17 00:00:00
26,4,Lower,Appliance Type - Refrigerator,REFRIGERATOR_REPAIR,"Refrigerator/freezer repair needed. Common issues: not cooling, ice maker, compressor.",HIGHEST conversion rate. Emergency - food spoilage risk.,Priority routing - urgent need,NONE,Variable,green,appliance,2026-02-17 00:00:00
27,4,Lower,Appliance Type - Dishwasher,DISHWASHER_REPAIR,"Dishwasher repair needed. Common issues: not cleaning, not draining, door issues.",Medium conversion rate. Less critical appliance.,Standard routing,NONE,Variable,green,appliance,2026-02-17 00:00:00
28,4,Lower,Appliance Type - Oven/Stove,OVEN_STOVE_REPAIR,"Oven/stove/range repair needed. Common issues: not heating, burner, igniter.",Medium-High conversion rate.,Standard routing,NONE,Variable,green,appliance,2026-02-17 00:00:00
29,4,Medium,Appliance Type - Microwave,MICROWAVE_REPAIR,"Microwave repair needed. Common issues: not heating, turntable, sparking.",Low conversion rate. Cheap to replace.,Track for targeting insights,NONE,Variable,yellow,appliance,2026-02-17 00:00:00
